Rk,Player,Age,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48,,OBPM,DBPM,BPM,VORP
1,Anthony Edwards,22,49,1719,19.1,0.587,0.342,0.341,2.1,14.2,8.5,24.8,1.7,1.2,13.3,31.9,,1.6,2.9,4.6,0.127,,2.6,0.5,3.1,2.2
2,Rudy Gobert,31,51,1704,18.8,0.667,0.005,0.664,12.8,29.1,21.5,5.3,1,5.4,12.8,15.5,,3.5,3.9,7.4,0.21,,0,1.8,1.8,1.6
3,Karl-Anthony Towns,28,51,1692,19.2,0.636,0.333,0.301,5.3,23,14.7,14.6,1,1.7,13.9,27.4,,2.5,3.1,5.6,0.159,,1.9,0.9,2.9,2.1
4,Mike Conley,36,47,1373,15.3,0.62,0.651,0.155,1.3,9.2,5.5,30.5,1.6,0.6,10.9,14.7,,3.4,2.1,5.4,0.19,,2,1.4,3.4,1.9
5,Jaden McDaniels,23,42,1213,9.7,0.596,0.393,0.096,3.2,7.2,5.3,6.7,1.5,1.5,12.3,15.7,,0.3,1.8,2.1,0.085,,-3,0.8,-2.1,0
6,Nickeil Alexander-Walker,25,52,1197,9.6,0.553,0.662,0.123,2.2,7,4.7,14.7,1.8,1.9,13.1,13.5,,0.5,1.9,2.4,0.097,,-2,1.8,-0.1,0.6
7,Naz Reid,24,52,1163,15.8,0.607,0.492,0.151,4.9,17.9,11.8,7.3,1.6,3,10.8,22.5,,0.7,2.3,3,0.124,,0.6,1.1,1.6,1.1
8,Kyle Anderson,30,52,1137,12.2,0.522,0.117,0.355,4.4,13.2,9.1,24.4,1.8,2.2,17.7,14.4,,0.7,2,2.7,0.115,,-1.6,2.6,1,0.9
9,Shake Milton,27,38,491,8.2,0.496,0.331,0.275,1.8,9.7,6,14.1,1.6,0.9,13.5,18.6,,-0.3,0.8,0.4,0.042,,-4.9,0.7,-4.3,-0.3
10,Troy Brown Jr.,24,37,410,11.6,0.603,0.712,0.186,4.2,15.2,10.1,11.7,1,0.4,12.4,15.7,,0.4,0.6,1,0.119,,-0.3,0.6,0.4,0.2
11,Jordan McLaughlin,27,30,279,14.6,0.522,0.568,0.108,4.4,8.9,6.8,25.5,3.9,1.6,12.4,14,,0.3,0.6,0.9,0.157,,0.6,4.4,5,0.5
12,Josh Minott,21,16,50,19.2,0.59,0.286,0.571,4.9,4.3,4.6,9.2,2,5.3,3.7,24.1,,0.1,0.1,0.2,0.202,,0.4,1.7,2.1,0.1
13,Wendell Moore Jr.,22,14,44,8.6,0.5,0.4,0,0,14.7,7.8,6.1,5.6,2,23.1,13,,-0.1,0.1,0,0.046,,-7.2,6,-1.3,0
14,Luka Garza,25,12,36,15.2,0.511,0.304,0.435,17.1,15,15.9,9.6,0,0,6.8,36,,0,0,0.1,0.067,,-4.2,-4.1,-8.3,-0.1
15,Daishen Nix,21,7,24,8.6,0.463,0.727,0.182,0,4.5,2.4,6.1,2.1,0,0,21.8,,0,0,0,0.013,,-3.5,-0.8,-4.3,0
16,Leonard Miller,20,6,21,28.6,0.75,0.3,0,5.8,46.2,27.3,9.1,2.3,4.2,9.1,23.1,,0,0.1,0.1,0.261,,3.6,5.2,8.8,0.1
