Rk,Player,Age,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48,,OBPM,DBPM,BPM,VORP
1,Karl-Anthony Towns,26,74,2476,24.1,0.64,0.301,0.385,8.2,23.6,15.7,18,1.4,3.2,13.7,27.8,,7.1,3.2,10.3,0.199,,4.5,0.5,5,4.4
2,Anthony Edwards,20,72,2466,16.5,0.56,0.484,0.225,2.6,12.5,7.5,17.4,2,1.8,12.2,26.4,,1.8,2.4,4.3,0.084,,1.6,-0.4,1.2,2
3,D'Angelo Russell,25,65,2077,16.3,0.544,0.531,0.246,1.3,10.1,5.6,33.1,1.4,1,13.2,25.1,,2.9,1.5,4.4,0.101,,2.2,-1.5,0.8,1.4
4,Malik Beasley,25,79,1976,11.9,0.544,0.749,0.071,1.4,11.2,6.2,8.5,1,0.6,4.7,19.4,,1.7,1.2,2.9,0.069,,0.7,-1.5,-0.7,0.7
5,Jarred Vanderbilt,22,74,1880,15.3,0.612,0.039,0.363,12,23.9,17.8,6.7,2.5,2.4,14.8,10.9,,3.1,2.9,6,0.153,,-0.8,1,0.2,1.1
6,Jaden McDaniels,21,70,1803,10.3,0.553,0.455,0.128,4.4,13.2,8.7,6.1,1.4,2.9,11.4,15.3,,0.7,1.7,2.4,0.065,,-2.9,-0.1,-2.9,-0.4
7,Patrick Beverley,33,58,1476,14.8,0.539,0.555,0.305,4.4,13.2,8.7,24.5,2.2,3.4,12.9,16.1,,2.3,1.7,4.1,0.132,,0.6,2.1,2.7,1.7
8,Naz Reid,22,77,1215,17.2,0.588,0.349,0.313,8.8,18,13.3,8.7,1.6,5.6,13.2,21.4,,1.5,1.6,3.2,0.125,,-0.5,0.5,0,0.6
9,Taurean Prince,27,69,1177,12.4,0.589,0.587,0.21,2.3,13.8,7.9,8.1,1.9,1.9,11.1,17,,1,1.2,2.2,0.09,,-1,0,-0.9,0.3
10,Jaylen Nowell,22,62,975,16.8,0.581,0.387,0.223,2.4,11.4,6.8,20.2,1.3,1,7.4,21,,2.1,0.7,2.8,0.138,,1.5,-0.7,0.8,0.7
11,Jordan McLaughlin,25,62,902,13.4,0.535,0.425,0.2,2.6,8.8,5.6,26.1,3,1.1,14.9,11.8,,1.3,1,2.3,0.123,,-1.2,1.6,0.4,0.6
12,Josh Okogie,23,49,516,9,0.526,0.452,0.49,5.9,8.7,7.3,6.2,2.4,2.2,15.4,12.1,,0.1,0.5,0.7,0.062,,-3.7,0.9,-2.7,-0.1
13,Nathan Knight,24,37,267,18.7,0.603,0.148,0.682,12.5,21.8,17.1,11.9,1.2,2.9,13.6,20.7,,0.6,0.3,1,0.171,,-0.7,0.1,-0.6,0.1
14,Leandro Bolmaro,21,35,241,5.4,0.419,0.333,0.241,6.9,12.3,9.6,11,1.2,0,17.9,12.6,,-0.1,0.2,0,0.004,,-5.1,-0.7,-5.8,-0.2
15,Jake Layman,27,34,231,9,0.5,0.479,0.247,2.7,14.3,8.4,5.3,1.4,2.1,11,16.4,,-0.1,0.2,0.1,0.024,,-3.3,-0.6,-3.9,-0.1
16,Greg Monroe,31,4,81,18.9,0.578,0,0.318,7.8,24.4,15.9,28.1,2.3,7.1,21.8,16.6,,0.1,0.1,0.3,0.149,,-0.3,4.8,4.5,0.1
17,McKinley Wright IV,23,5,19,9.5,0.833,0.667,0,0,0,0,20.9,0,0,25,8.8,,0,0,0,0.092,,-1.4,-2.8,-4.2,0
18,Chris Silva,25,1,3,3.8,,,,0,36.6,17.9,0,0,0,,0,,0,0,0,0.052,,-5.3,-0.5,-5.8,0
