Rk,Player,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1,Anthony Edwards,22,49,49,35.1,8.9,19.2,0.465,2.6,6.6,0.393,6.3,12.6,0.503,0.532,5.4,6.5,0.834,0.6,4.6,5.2,5.2,1.2,0.5,3.4,2,25.9
2,Rudy Gobert,31,51,51,33.4,5.2,7.9,0.649,0,0,0,5.2,7.9,0.653,0.649,3.4,5.3,0.639,3.5,9,12.5,1.2,0.6,2,1.5,3,13.7
3,Karl-Anthony Towns,28,51,51,33.2,8.1,15.7,0.516,2.3,5.2,0.442,5.8,10.5,0.552,0.589,4.1,4.7,0.871,1.4,7.1,8.5,3,0.7,0.6,2.9,3.3,22.6
4,Mike Conley,36,47,47,29.2,3.6,8.1,0.446,2.4,5.3,0.448,1.3,2.8,0.444,0.592,1.1,1.3,0.915,0.3,2.5,2.8,6.5,1,0.2,1.1,1.7,10.7
5,Jaden McDaniels,23,42,41,28.9,4.4,8.7,0.511,1.3,3.4,0.371,3.2,5.3,0.602,0.584,0.6,0.8,0.771,0.8,1.9,2.7,1.4,0.9,0.5,1.3,3.1,10.8
6,Nickeil Alexander-Walker,25,52,16,23,2.4,5.8,0.417,1.4,3.8,0.36,1,2,0.529,0.536,0.5,0.7,0.757,0.4,1.5,1.9,2.5,0.9,0.5,0.9,1.9,6.8
7,Naz Reid,24,52,0,22.4,4.7,9.5,0.488,1.9,4.7,0.414,2.7,4.8,0.56,0.59,1.1,1.4,0.76,0.9,3.7,4.6,1.1,0.7,0.8,1.2,1.9,12.3
8,Kyle Anderson,30,52,2,21.9,2.4,5.1,0.472,0.1,0.6,0.194,2.3,4.5,0.509,0.483,1.2,1.8,0.681,0.8,2.7,3.5,4,0.8,0.6,1.3,1.5,6.2
9,Shake Milton,27,38,0,12.9,1.7,4.2,0.4,0.4,1.4,0.264,1.3,2.8,0.467,0.444,0.9,1.2,0.818,0.2,1.2,1.3,1.3,0.4,0.1,0.7,1.2,4.7
10,Troy Brown Jr.,24,37,3,11.1,1.4,3.2,0.441,0.8,2.3,0.369,0.6,0.9,0.618,0.572,0.5,0.6,0.864,0.4,1.6,1.9,0.9,0.2,0.1,0.5,0.7,4.2
11,Jordan McLaughlin,27,30,0,9.3,1,2.5,0.405,0.6,1.4,0.405,0.4,1.1,0.406,0.52,0.1,0.3,0.5,0.3,0.8,1.1,1.8,0.7,0.2,0.4,0.5,2.7
12,Leonard Miller,20,6,0,3.5,1.2,1.7,0.7,0.2,0.5,0.333,1,1.2,0.857,0.75,0,0,,0.2,1.5,1.7,0.2,0.2,0.2,0.2,0.5,2.5
13,Daishen Nix,21,7,0,3.4,0.6,1.6,0.364,0.4,1.1,0.375,0.1,0.4,0.333,0.5,0,0.3,0,0,0.1,0.1,0.1,0.1,0,0,0,1.6
14,Josh Minott,21,16,0,3.1,0.6,1.3,0.476,0.1,0.4,0.167,0.6,0.9,0.6,0.5,0.6,0.8,0.833,0.1,0.1,0.3,0.2,0.1,0.2,0.1,0.4,1.9
15,Wendell Moore Jr.,22,14,0,3.1,0.4,0.7,0.5,0,0.3,0,0.4,0.4,0.833,0.5,0,0,,0,0.4,0.4,0.1,0.4,0.1,0.2,0.3,0.7
16,Luka Garza,25,12,0,3,0.8,1.9,0.435,0.2,0.6,0.286,0.7,1.3,0.5,0.478,0.5,0.8,0.6,0.4,0.4,0.8,0.2,0,0,0.2,0.8,2.3
