Rk,Player,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1,Andrew Wiggins,19,82,82,36.2,6.1,13.9,0.437,0.5,1.5,0.31,5.6,12.3,0.453,0.454,4.3,5.7,0.76,1.6,2.9,4.6,2.1,1,0.6,2.2,2.3,16.9
2,Kevin Martin,31,39,36,33.4,6.8,16,0.427,1.9,4.9,0.393,4.9,11.1,0.442,0.487,4.4,4.9,0.881,0.5,3.2,3.6,2.3,0.8,0,1.9,1.9,20
3,Thaddeus Young,26,48,48,33.4,6,13.4,0.451,0.4,1.4,0.292,5.6,12,0.469,0.466,1.8,2.7,0.682,1.6,3.5,5.1,2.8,1.8,0.4,1.6,2.4,14.3
4,Ricky Rubio,24,22,22,31.5,3.5,10,0.356,0.6,2.3,0.255,3,7.6,0.387,0.386,2.6,3.2,0.803,0.9,4.8,5.7,8.8,1.7,0,2.9,2.7,10.3
5,Gorgui Dieng,25,73,49,30,3.5,7,0.506,0,0.1,0.167,3.5,6.9,0.51,0.507,2.6,3.3,0.783,3.1,5.3,8.3,2,1,1.7,1.7,2.6,9.7
6,Corey Brewer,28,24,16,28.3,3.9,9.4,0.418,0.3,1.7,0.195,3.6,7.7,0.467,0.436,2.3,3.3,0.705,1.3,2.6,3.9,3.3,2.3,0.2,2.1,2.6,10.5
7,Mo Williams,32,41,19,28,4.4,10.9,0.403,1.4,4.1,0.347,3,6.8,0.437,0.469,2,2.3,0.851,0.3,2.1,2.4,6.4,0.7,0.2,2.5,2.5,12.2
8,Nikola Pekovi?,29,31,29,26.3,4.5,10.6,0.424,0,0,,4.5,10.6,0.424,0.424,3.5,4.2,0.837,2.9,4.7,7.5,0.9,0.6,0.4,1.4,1.9,12.5
9,Justin Hamilton,24,17,9,24.9,3.4,6.6,0.513,0.2,0.7,0.333,3.2,5.9,0.535,0.531,1.9,2.4,0.825,1.9,3.1,5.1,1.4,1.1,1.5,1.1,2.2,9
10,Adreian Payne,23,29,22,24.8,3.1,7.3,0.418,0,0.3,0.125,3,7.1,0.429,0.42,1,1.5,0.659,1.6,3.8,5.4,1,0.6,0.3,1.5,2.9,7.2
11,Zach LaVine,19,77,40,24.7,3.7,8.8,0.422,0.7,2.2,0.341,3,6.6,0.449,0.465,1.9,2.3,0.842,0.4,2.4,2.8,3.6,0.7,0.1,2.5,2.1,10.1
12,Gary Neal,30,11,1,23.8,4.1,9.5,0.429,1,2.8,0.355,3.1,6.7,0.459,0.481,2.6,3,0.879,0,3.2,3.2,1.8,0.6,0,0.9,1.6,11.8
13,Shabazz Muhammad,22,38,13,22.8,5.1,10.4,0.489,0.5,1.3,0.392,4.6,9.1,0.503,0.514,2.7,3.8,0.717,1.7,2.4,4.1,1.2,0.5,0.2,0.9,1.3,13.5
14,Kevin Garnett,38,5,5,19.6,3.6,6.2,0.581,0,0.2,0,3.6,6,0.6,0.581,0.4,0.8,0.5,0.4,4.8,5.2,1.6,1,0.8,0.2,2.6,7.6
15,Chase Budinger,26,67,4,19.2,2.5,5.8,0.433,0.8,2.1,0.364,1.7,3.7,0.474,0.5,1,1.2,0.827,0.5,2.5,3,1,0.7,0.1,0.7,1.1,6.8
16,Lorenzo Brown,24,29,7,18.9,1.8,4.2,0.426,0.2,1,0.214,1.6,3.2,0.489,0.451,0.4,0.7,0.632,0.5,1.9,2.4,3.1,1,0.2,1,1.7,4.2
17,Sean Kilpatrick,25,4,0,18,1.8,5,0.35,1,3.3,0.308,0.8,1.8,0.429,0.45,1,1,1,0.3,1.3,1.5,1,0.8,0,0.5,0.8,5.5
18,Robbie Hummel,25,45,4,16.5,1.8,3.8,0.459,0.4,1.1,0.314,1.4,2.7,0.521,0.506,0.5,0.6,0.828,0.7,2.3,3,0.6,0.4,0.2,0.4,1.9,4.4
19,Anthony Bennett,21,57,3,15.7,2.2,5.2,0.421,0.1,0.4,0.304,2.1,4.8,0.431,0.433,0.7,1.1,0.641,0.9,2.9,3.8,0.8,0.5,0.3,0.6,1.5,5.2
20,Jeff Adrien,28,17,0,12.6,1.1,2.6,0.432,0,0,,1.1,2.6,0.432,0.432,1.3,2.2,0.579,1.4,3.2,4.5,0.9,0.2,0.5,0.5,1.8,3.5
21,Arinze Onuaku,27,6,1,11.3,2,2.3,0.857,0,0,,2,2.3,0.857,0.857,0.5,1.3,0.375,1.2,2.3,3.5,0.7,0.2,0.5,0.3,1,4.5
22,Ronny Turiaf,32,2,0,9.5,0,0,,0,0,,0,0,,,0,0,,0,0.5,0.5,1,0,0,0,0,0
23,Troy Daniels,23,19,0,8.1,1,3.1,0.322,0.7,2.1,0.333,0.3,1.1,0.3,0.432,0.1,0.1,1,0.3,0.7,1,0.7,0.2,0,0.4,0.7,2.8
24,Miroslav Raduljica,27,5,0,4.6,0.6,1.6,0.375,0,0,,0.6,1.6,0.375,0.375,0.4,0.4,1,0.4,0.6,1,0,0.2,0,0.4,1.6,1.6
25,Glenn Robinson III,21,25,0,4.3,0.3,1,0.333,0,0.2,0.167,0.3,0.7,0.389,0.354,0.5,0.6,0.75,0.2,0.4,0.6,0.1,0.1,0,0.1,0.2,1.2
