Rk,Player,Age,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48,,OBPM,DBPM,BPM,VORP
1,Anthony Edwards,21,79,2842,17.4,0.564,0.375,0.274,1.9,15.9,9,19.3,2.1,1.8,13,29.9,,0.2,3.6,3.8,0.064,,1,0,1,2.1
2,Jaden McDaniels,22,79,2416,12,0.611,0.376,0.201,4.3,9.8,7.1,8.4,1.5,2.7,12.6,15.8,,2,2.4,4.4,0.087,,-1.7,0.5,-1.2,0.5
3,Rudy Gobert,30,70,2148,18.9,0.675,0.005,0.623,12.2,29.8,21.2,5.6,1.2,3.9,14.9,16.3,,4.3,3.5,7.8,0.174,,0,0.7,0.7,1.4
4,Kyle Anderson,29,69,1957,14.8,0.583,0.212,0.275,3.8,16.9,10.5,22.6,1.9,2.8,15.7,14.4,,2.5,2.6,5.1,0.125,,0.2,2.3,2.5,2.2
5,D'Angelo Russell,26,54,1778,16.1,0.604,0.521,0.23,1.8,8.5,5.2,27,1.6,1,15.5,22.8,,2.3,1.5,3.8,0.103,,1.9,-0.7,1.2,1.4
6,Jaylen Nowell,23,65,1252,13.7,0.527,0.371,0.158,3.3,11.7,7.6,15.9,1.6,0.3,8.9,25,,0,1.2,1.2,0.046,,-1.5,-1,-2.5,-0.2
7,Naz Reid,23,68,1251,18.5,0.617,0.376,0.22,6.6,22.8,14.9,9.6,1.6,3.7,12.7,24.8,,1.1,1.9,3,0.114,,0.3,0.8,1,1
8,Taurean Prince,28,54,1192,10,0.597,0.512,0.203,1.4,10.8,6.2,9.6,1.1,1.1,14.3,17.3,,0.3,1,1.3,0.052,,-2.6,-0.6,-3.3,-0.4
9,Austin Rivers,30,52,1016,7.4,0.564,0.589,0.187,0.6,8.4,4.6,9.3,1.3,0.3,9.2,10.5,,0.5,0.8,1.3,0.061,,-3.3,0.5,-2.8,-0.2
10,Karl-Anthony Towns,27,29,957,18.8,0.618,0.383,0.315,5.7,21.6,13.8,22,1,1.5,15,25.6,,1.5,1.1,2.7,0.133,,2.1,0.9,3,1.2
11,Mike Conley,35,24,753,16.1,0.631,0.587,0.311,2.4,8.6,5.6,21.5,1.8,0.5,9.8,16.8,,1.8,0.7,2.5,0.158,,1.5,0.6,2,0.7
12,Jordan McLaughlin,26,43,678,11.8,0.526,0.538,0.124,2.5,7.6,5.1,27.4,2.2,0.5,17.7,11.7,,0.7,0.6,1.3,0.094,,-1.3,0.6,-0.7,0.2
13,Nickeil Alexander-Walker,24,23,356,9.6,0.503,0.576,0.168,2.2,10.8,6.6,12,1.1,1.7,6.9,17.3,,0,0.3,0.3,0.044,,-2.5,-0.5,-3,-0.1
14,Nathan Knight,25,38,291,14.5,0.655,0.272,0.704,8.6,12.8,10.8,6.1,1.6,1.8,16.5,18.7,,0.4,0.3,0.7,0.116,,-2.4,-0.8,-3.2,-0.1
15,Bryn Forbes,29,25,268,6.2,0.497,0.554,0.181,1.7,4.5,3.1,8.2,1.2,0.7,11.8,16.2,,-0.2,0.2,0,0,,-4.8,-1.5,-6.3,-0.3
16,Luka Garza,24,28,243,23,0.652,0.336,0.448,15.5,13.5,14.5,11.8,0.6,0.7,9.2,26.9,,0.9,0.2,1.1,0.211,,2.2,-2.6,-0.4,0.1
17,Matt Ryan,25,22,181,10.6,0.604,0.831,0.119,1.3,6.1,3.7,8.9,0.8,0.5,6.1,15.6,,0.2,0.1,0.3,0.084,,-0.2,-1.6,-1.7,0
18,Wendell Moore Jr.,21,29,153,9.3,0.465,0.395,0.116,3,10,6.6,15.3,2.5,2.8,15,14.9,,-0.1,0.2,0.1,0.028,,-3.8,1.3,-2.4,0
19,Josh Minott,20,15,96,17.9,0.582,0.167,0.222,5.9,22.9,14.6,7.5,2,5.4,7.1,18.9,,0.1,0.2,0.3,0.146,,-1.9,0.4,-1.6,0
20,A.J. Lawson,22,1,2,34.4,1,0,0,0,54.9,27.9,0,0,0,0,21.4,,0,0,0,0.377,,-2.3,7.5,5.2,0
